season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,cbwd_NE,cbwd_NW,cbwd_SE,PM_HIGH
4,-8.0,79.0,1026.0,-5.0,23.69,0.0,0,0,1,1.0
4,-11.0,85.0,1021.0,-9.0,105.93,1.1,0,0,1,0.0
4,-21.0,43.0,1030.0,-11.0,117.55,0.0,0,1,0,0.0
4,-25.0,33.0,1034.0,-12.0,39.35,0.0,1,0,0,0.0
4,-24.0,30.0,1034.0,-10.0,59.0,0.0,1,0,0,0.0
4,-21.0,37.0,1035.0,-9.0,19.22,0.0,0,1,0,0.0
4,-16.0,56.0,1028.0,-9.0,3.13,0.0,0,0,1,1.0
4,-16.0,45.0,1029.0,-6.0,23.24,0.0,1,0,0,0.0
4,-15.0,52.0,1032.0,-7.0,6.26,0.0,0,1,0,0.0
4,-20.0,32.0,1035.0,-6.0,42.02,0.0,0,1,0,0.0
4,-23.0,36.0,1029.0,-11.0,47.82,0.0,0,1,0,0.0
4,-21.0,34.0,1031.0,-8.0,270.89,0.0,0,1,0,0.0
4,-16.0,45.0,1023.0,-6.0,26.37,0.0,0,1,0,0.0
4,-18.0,35.0,1039.0,-5.0,45.58,0.0,1,0,0,0.0
4,-13.0,53.0,1033.0,-5.0,1.79,0.0,0,1,0,1.0
4,-11.0,58.0,1029.0,-4.0,2.23,0.0,0,0,0,1.0
4,-8.0,58.0,1027.0,-1.0,15.2,0.0,0,1,0,1.0
4,-5.0,64.0,1020.0,1.0,0.89,0.0,0,0,0,1.0
4,-13.0,36.0,1033.0,0.0,78.24,0.0,0,1,0,0.0
4,-22.0,24.0,1037.0,-5.0,4.02,0.0,0,1,0,0.0
4,-19.0,27.0,1035.0,-3.0,95.21,0.0,0,1,0,0.0
4,-19.0,20.0,1029.0,1.0,55.0,0.0,0,1,0,0.0
4,-15.0,33.0,1025.0,-1.0,1.79,0.0,0,0,1,0.0
4,-9.0,38.0,1014.0,4.0,4.92,0.0,0,1,0,0.0
4,-21.0,17.0,1027.0,1.0,44.7,0.0,0,1,0,0.0
4,-25.0,9.0,1023.0,4.0,42.02,0.0,0,1,0,0.0
4,-22.0,11.0,1020.0,6.0,18.77,0.0,0,1,0,0.0
4,-20.0,14.0,1025.0,5.0,145.69,0.0,0,1,0,0.0
