season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,cbwd_NE,cbwd_NW,cbwd_SE,PM_HIGH
2,20.0,88.45,1007.1,22.0,1.0,0.0,0,0,0,1.0
2,17.0,54.39,1008.1,27.0,5.0,0.0,0,0,0,0.0
2,20.0,78.39,1008.1,24.0,2.0,0.0,0,0,0,0.0
2,19.0,65.41,1006.1,26.0,2.0,0.0,0,0,0,0.0
2,20.0,61.9,1003.1,28.0,2.0,0.0,0,0,0,0.0
2,22.0,78.68,1008.1,26.0,3.0,0.0,0,0,0,0.0
2,23.0,88.7,1003.1,25.0,1.0,0.5,0,1,0,1.0
2,23.0,78.82,1001.0,27.0,5.0,0.0,1,0,0,0.0
2,23.0,83.6,1002.0,26.0,3.0,0.0,0,0,0,0.0
2,17.0,43.18,1003.1,31.0,10.0,0.0,0,0,0,0.0
2,20.0,52.09,1000.0,31.0,3.0,0.0,0,0,0,0.0
2,22.0,88.62,1000.0,24.0,1.0,0.0,0,1,0,0.0
2,24.0,83.71,999.0,27.0,2.0,0.0,0,1,0,0.0
2,22.0,83.48,1001.0,25.0,2.0,0.0,1,0,0,0.0
2,22.0,66.04,1003.1,29.0,20.0,0.0,0,0,0,0.0
2,22.0,58.89,1003.1,31.0,1.0,0.0,0,0,0,0.0
2,22.0,78.68,1004.1,26.0,1.0,0.0,0,0,0,1.0
2,21.0,52.35,1002.0,32.0,7.0,0.0,0,0,0,0.0
2,22.0,62.35,1003.1,30.0,14.0,0.0,0,0,0,0.0
2,21.0,78.53,1005.1,25.0,4.0,0.0,0,0,0,0.0
2,22.0,94.12,1006.1,23.0,3.0,0.3,0,0,0,0.0
2,22.0,94.12,1006.1,23.0,10.0,4.8,0,1,0,0.0
2,22.0,94.12,1008.1,23.0,2.0,0.0,0,0,0,0.0
2,23.0,88.7,1007.1,25.0,2.0,0.0,0,0,0,0.0
2,23.0,83.6,1005.1,26.0,2.0,0.0,0,0,0,1.0
2,24.0,83.71,1000.0,27.0,6.0,0.0,0,1,0,0.0
2,19.0,69.4,1007.1,25.0,2.0,0.0,0,1,0,0.0
2,19.0,69.4,1008.1,25.0,4.0,0.0,0,0,0,0.0
2,19.0,54.9,1008.1,29.0,1.0,0.0,0,0,0,0.0
2,21.0,58.65,1008.1,30.0,1.0,0.0,0,1,0,0.0
2,22.0,62.35,1005.1,30.0,2.0,0.0,0,0,0,0.0
2,25.0,74.69,1003.1,30.0,9.0,0.0,0,1,0,0.0
2,24.0,88.78,1006.1,26.0,1.0,0.0,0,0,0,0.0
2,24.0,62.79,1006.1,32.0,6.0,0.0,0,0,0,0.0
2,22.0,55.65,1001.0,32.0,1.0,0.0,0,0,0,0.0
2,21.0,58.65,1004.1,30.0,7.0,0.0,0,1,0,0.0
2,19.0,61.67,1008.1,27.0,4.0,0.0,0,0,0,0.0
2,20.0,58.42,1008.1,29.0,3.0,0.0,0,0,0,0.0
2,22.0,58.89,1005.1,31.0,3.0,0.0,0,0,0,0.0
2,24.0,70.36,1010.2,30.0,2.0,0.0,0,0,0,0.0
2,24.0,62.79,1007.1,32.0,4.0,0.0,0,0,0,0.0
2,23.0,55.89,1005.1,33.0,3.0,0.0,0,0,0,0.0
2,22.0,52.6,1004.1,33.0,4.0,0.0,0,0,0,0.0
2,25.0,59.59,1003.1,34.0,7.0,0.0,0,0,0,1.0
2,23.0,52.86,1002.0,34.0,3.0,0.0,0,0,0,1.0
2,24.0,56.14,1002.0,34.0,1.0,0.0,0,0,0,1.0
2,24.0,70.36,1004.1,30.0,5.0,0.0,0,1,0,0.0
2,20.0,49.22,1008.1,32.0,3.0,0.0,0,0,0,0.0
2,22.0,55.65,1006.1,32.0,3.0,0.0,0,0,0,1.0
2,25.0,83.82,1006.1,28.0,2.0,0.0,0,1,0,0.0
2,23.0,66.25,1009.1,30.0,10.0,0.0,0,1,0,0.0
2,22.0,83.48,1010.2,25.0,7.0,0.0,0,1,0,0.0
2,22.0,83.48,1008.1,25.0,3.0,0.0,0,0,0,0.0
2,18.0,45.99,1012.9,31.0,2.0,0.0,0,0,0,0.0
2,18.0,61.44,1014.9,26.0,3.0,0.0,0,0,1,0.0
2,17.0,48.42,1012.9,29.0,2.0,0.0,0,0,1,0.0
2,19.0,54.9,1011.9,29.0,3.0,0.0,0,0,0,1.0
2,18.0,48.69,1010.2,30.0,5.0,0.0,0,0,0,0.0
2,21.0,58.65,1008.1,30.0,3.0,0.0,0,0,0,1.0
2,21.0,74.02,1010.2,26.0,17.0,0.0,0,0,0,0.0
2,21.0,62.13,1009.1,29.0,4.0,0.0,0,0,0,0.0
2,22.0,94.12,1008.1,23.0,8.0,0.0,0,0,0,1.0
2,22.0,88.62,1007.1,24.0,9.0,1.2,0,1,0,0.0
3,22.0,94.12,1008.1,23.0,15.0,1.4,1,0,0,0.0
3,17.0,57.69,1014.9,26.0,2.0,0.0,0,0,0,0.0
3,18.0,48.69,1014.9,30.0,1.0,0.0,0,0,0,1.0
3,19.0,54.9,1014.9,29.0,1.0,0.0,0,0,1,0.0
3,16.0,42.9,1015.9,30.0,3.0,0.0,0,0,0,0.0
3,19.0,61.67,1013.9,27.0,7.0,0.0,1,0,0,1.0
3,20.0,65.62,1011.9,27.0,2.0,0.0,0,0,0,1.0
3,23.0,83.6,1011.9,26.0,5.0,0.0,0,0,0,0.0
3,20.0,58.42,1010.8,29.0,1.0,0.0,0,0,0,1.0
3,23.0,94.16,1007.1,24.0,1.0,0.4,0,1,0,0.0
3,17.0,48.42,1010.2,29.0,2.0,0.0,1,0,0,0.0
3,20.0,83.25,1018.0,23.0,1.0,0.0,0,0,0,0.0
3,12.0,47.05,1020.0,24.0,1.0,0.0,0,0,0,0.0
3,13.0,53.36,1018.0,23.0,3.0,0.0,0,0,0,0.0
3,18.0,93.94,1015.9,19.0,9.0,0.0,0,1,0,0.0
3,16.0,93.84,1018.0,17.0,35.0,0.2,1,0,0,0.0
3,16.0,73.14,1020.0,21.0,2.0,0.0,0,0,0,0.0
3,16.0,73.14,1015.9,21.0,2.0,0.0,0,0,0,0.0
3,16.0,64.76,1014.9,23.0,2.0,0.0,0,0,0,1.0
3,18.0,93.94,1011.9,19.0,2.0,0.0,0,0,1,1.0
3,17.0,64.98,1012.9,24.0,3.0,0.0,0,0,0,0.0
3,18.0,69.2,1012.9,24.0,1.0,0.0,0,0,0,0.0
3,20.0,94.03,1012.9,21.0,0.0,0.0,0,0,0,0.0
3,19.0,88.37,1013.9,21.0,7.0,0.2,1,0,0,0.0
3,15.0,53.88,1019.0,25.0,1.0,0.0,0,0,0,0.0
3,17.0,61.21,1021.0,25.0,1.0,0.0,0,0,0,0.0
3,19.0,88.37,1022.0,21.0,16.0,0.0,0,0,0,0.0
3,20.0,88.45,1020.0,22.0,3.0,0.0,0,0,0,1.0
3,14.0,56.95,1020.0,23.0,2.0,0.0,1,0,0,0.0
3,18.0,93.94,1014.9,19.0,3.0,0.0,0,1,0,0.0
3,16.0,68.81,1015.9,22.0,4.0,0.0,0,0,0,0.0
3,18.0,88.28,1015.9,20.0,5.0,0.0,0,0,0,0.0
3,14.0,64.32,1020.0,21.0,1.0,0.0,0,0,0,0.0
3,18.0,100.0,1022.0,18.0,3.0,0.8,0,0,0,0.0
3,17.0,100.0,1021.0,17.0,19.0,0.0,0,1,0,0.0
3,16.0,93.84,1020.0,17.0,8.0,0.0,0,1,0,0.0
3,18.0,93.94,1024.0,19.0,1.0,0.0,0,0,0,0.0
3,13.0,64.09,1022.0,20.0,1.0,0.0,0,0,0,0.0
3,16.0,93.84,1019.0,17.0,1.0,0.0,0,0,0,0.0
3,15.0,93.8,1019.0,16.0,3.0,0.0,1,0,0,0.0
3,15.0,64.54,1016.9,22.0,5.0,0.0,0,0,0,0.0
3,16.0,73.14,1014.9,21.0,0.0,0.0,0,0,0,0.0
3,17.0,82.89,1014.9,20.0,1.0,0.0,0,0,0,1.0
3,16.0,73.14,1023.0,21.0,2.0,0.0,0,0,0,0.0
3,15.0,82.65,1025.1,18.0,6.0,0.0,0,0,0,0.0
3,10.0,52.56,1015.9,20.0,3.0,0.0,1,0,0,0.0
3,13.0,60.27,1015.9,21.0,2.0,0.0,0,0,0,0.0
3,14.0,68.4,1016.9,20.0,1.0,0.0,0,0,0,1.0
3,16.0,77.79,1018.0,20.0,1.0,0.0,0,1,0,1.0
3,5.0,39.75,1025.1,19.0,2.0,0.0,1,0,0,0.0
3,11.0,59.78,1018.0,19.0,11.0,0.0,1,0,0,0.0
3,8.0,45.93,1019.0,20.0,1.0,0.0,0,0,0,0.0
3,12.0,63.87,1014.9,19.0,1.0,0.0,1,0,0,0.0
3,12.0,56.44,1019.0,21.0,2.0,0.0,0,0,0,1.0
3,13.0,53.36,1020.0,23.0,3.0,0.0,0,0,0,1.0
3,14.0,64.32,1019.0,21.0,4.0,0.0,0,0,0,1.0
3,14.0,56.95,1020.0,23.0,4.0,0.0,0,0,0,1.0
3,10.0,49.42,1025.1,21.0,1.0,0.0,0,0,0,0.0
3,10.0,46.49,1023.0,22.0,9.0,0.0,0,0,0,0.0
3,12.0,63.87,1016.9,19.0,3.0,0.0,0,0,0,1.0
3,13.0,68.2,1012.9,19.0,0.0,0.0,0,0,0,1.0
3,-1.0,33.35,1022.0,15.0,29.0,0.0,1,0,0,0.0
3,5.0,54.62,1022.0,14.0,1.0,0.0,0,0,1,0.0
3,9.0,93.5,1022.0,10.0,2.0,0.0,0,0,1,0.0
3,10.0,93.55,1022.0,11.0,0.0,0.0,0,0,0,1.0
3,11.0,93.6,1019.0,12.0,3.0,0.0,0,0,0,0.0
3,6.0,48.31,1013.9,17.0,11.0,0.0,0,0,1,0.0
3,11.0,82.14,1012.9,14.0,1.0,0.0,0,0,0,1.0
3,12.0,77.17,1022.0,16.0,2.0,0.0,1,0,0,1.0
3,5.0,62.24,1026.1,12.0,4.0,0.0,0,0,0,0.0
3,6.0,62.48,1023.0,13.0,1.0,0.0,0,0,0,0.0
3,10.0,93.55,1020.0,11.0,2.0,0.0,0,0,0,1.0
3,11.0,87.66,1016.9,13.0,1.0,0.0,0,0,0,1.0
3,10.0,67.57,1018.0,16.0,2.0,0.0,1,0,0,1.0
3,4.0,44.78,1028.1,16.0,2.0,0.0,0,0,1,0.0
3,7.0,51.75,1021.0,17.0,2.0,0.0,0,0,1,0.0
3,8.0,62.95,1018.0,15.0,3.0,0.0,0,1,0,1.0
3,6.0,45.36,1015.9,18.0,3.0,0.0,0,0,0,1.0
3,8.0,67.15,1014.9,14.0,2.0,0.0,0,1,0,1.0
3,7.0,55.15,1013.9,16.0,2.0,0.0,1,0,0,0.0
3,11.0,82.14,1016.9,14.0,2.0,0.0,0,1,0,1.0
3,-5.0,32.14,1025.1,11.0,3.0,0.0,0,1,0,0.0
3,1.0,50.08,1015.9,11.0,3.0,0.0,0,0,0,0.0
3,8.0,93.45,1022.0,9.0,2.0,0.1,0,0,0,0.0
3,4.0,62.0,1027.1,11.0,2.0,0.0,0,0,0,0.0
3,1.0,50.08,1018.0,11.0,2.0,0.0,0,0,0,0.0
3,4.0,66.27,1016.9,10.0,2.0,0.0,0,1,0,1.0
3,8.0,93.45,1018.0,9.0,0.0,0.0,0,0,0,1.0
4,6.0,66.71,1026.1,12.0,2.0,0.0,0,0,0,0.0
4,6.0,62.48,1024.0,13.0,2.0,0.0,0,0,0,1.0
4,3.0,57.77,1019.0,11.0,4.0,0.0,1,0,0,1.0
4,6.0,66.71,1020.0,12.0,1.0,0.0,0,1,0,1.0
4,7.0,87.28,1023.0,9.0,2.0,0.0,0,0,0,1.0
4,9.0,87.47,1022.0,11.0,1.0,0.0,0,0,0,1.0
4,9.0,87.47,1019.0,11.0,0.0,0.0,0,0,0,1.0
4,9.0,93.5,1022.0,10.0,5.0,0.0,0,0,0,1.0
4,9.0,93.5,1022.0,10.0,2.0,0.0,1,0,0,1.0
4,8.0,87.38,1018.0,10.0,2.0,0.0,0,0,0,1.0
4,7.0,87.28,1011.9,9.0,3.0,0.0,0,0,0,0.0
4,7.0,71.47,1018.0,12.0,3.0,0.0,0,0,0,0.0
4,8.0,76.52,1015.9,12.0,1.0,0.0,0,0,0,1.0
4,9.0,93.5,1019.0,10.0,2.0,0.0,0,0,0,1.0
4,8.0,81.75,1022.0,11.0,2.0,0.0,0,0,0,1.0
4,-3.0,39.93,1030.1,10.0,2.0,0.0,1,0,0,0.0
4,5.0,93.29,1015.9,6.0,8.0,0.0,0,1,0,0.0
4,6.0,93.35,1016.9,7.0,3.0,0.0,1,0,0,0.0
4,0.0,53.26,1024.0,9.0,4.0,0.0,1,0,0,0.0
4,-2.0,46.0,1029.1,9.0,4.0,0.0,0,0,0,0.0
4,-7.0,33.74,1031.8,8.0,5.0,0.0,0,0,0,0.0
4,-1.0,52.98,1020.0,8.0,1.0,0.0,0,1,0,1.0
4,2.0,70.47,1024.0,7.0,4.0,0.0,0,0,0,1.0
4,-2.0,49.22,1024.0,8.0,42.0,0.0,1,0,0,0.0
4,1.0,61.26,1021.0,8.0,3.0,0.0,0,0,1,0.0
4,3.0,81.06,1015.9,6.0,9.0,0.0,0,1,0,1.0
4,-12.0,27.97,1035.9,5.0,29.0,0.0,1,0,0,0.0
4,-14.0,20.7,1033.9,7.0,3.0,0.0,0,0,0,0.0
4,-9.0,33.12,1025.1,6.0,3.0,0.0,0,0,0,1.0
4,-5.0,42.1,1020.0,7.0,2.0,0.0,1,0,0,1.0
4,-4.0,55.91,1033.0,4.0,14.0,0.0,1,0,0,0.0
4,0.0,80.63,1025.0,3.0,3.0,0.0,0,0,0,1.0
4,1.0,86.68,1023.0,3.0,2.0,0.0,0,1,0,1.0
4,2.0,100.0,1024.0,2.0,1.0,0.0,0,0,0,1.0
4,1.0,93.08,1023.0,2.0,2.0,0.0,0,0,1,1.0
4,2.0,75.49,1025.0,6.0,2.0,0.0,0,0,0,1.0
4,1.0,65.59,1026.0,7.0,2.0,0.0,0,0,1,1.0
4,4.0,93.24,1025.0,5.0,1.0,0.0,0,0,0,1.0
4,4.0,86.99,1028.0,6.0,2.0,0.0,0,0,0,1.0
4,2.0,65.82,1023.0,8.0,1.0,0.0,1,0,0,1.0
4,4.0,81.2,1019.0,7.0,1.0,0.0,0,0,0,1.0
4,3.0,75.67,1021.0,7.0,3.0,0.0,0,0,0,1.0
4,3.0,61.76,1024.0,10.0,3.0,0.0,0,0,0,1.0
4,5.0,81.34,1026.0,8.0,1.0,0.0,0,0,0,1.0
4,6.0,81.48,1031.0,9.0,5.0,0.0,0,0,0,1.0
4,7.0,87.28,1027.0,9.0,5.0,0.0,0,0,0,1.0
4,7.0,93.4,1014.0,8.0,3.0,0.0,0,0,0,1.0
4,6.0,81.48,1018.0,9.0,1.0,0.0,0,1,0,1.0
4,1.0,57.25,1026.0,9.0,2.0,0.0,0,1,0,1.0
4,-1.0,40.54,1026.0,12.0,2.0,0.0,0,0,0,1.0
4,1.0,46.88,1021.0,12.0,2.0,0.0,0,0,0,1.0
4,3.0,47.46,1027.0,14.0,2.0,0.0,0,0,1,1.0
4,0.0,43.6,1022.0,12.0,1.0,0.0,0,0,0,1.0
4,3.0,47.46,1023.0,14.0,4.0,0.0,0,0,0,1.0
4,3.0,44.49,1025.0,15.0,2.0,0.0,0,0,0,1.0
4,3.0,47.46,1020.0,14.0,3.0,0.0,0,0,0,1.0
4,5.0,62.24,1020.0,12.0,2.0,0.0,0,1,0,1.0
4,6.0,58.54,1019.0,14.0,6.0,0.0,0,0,1,1.0
4,6.0,62.48,1015.0,13.0,2.0,0.0,0,0,0,1.0
4,7.0,66.93,1020.0,13.0,1.0,0.0,0,0,0,1.0
4,8.0,62.95,1020.0,15.0,2.0,0.0,0,0,0,1.0
4,6.0,58.54,1013.0,14.0,3.0,0.0,0,0,0,1.0
4,9.0,71.85,1013.0,14.0,1.0,0.0,0,0,0,1.0
4,10.0,82.01,1019.0,13.0,2.0,0.0,0,1,0,1.0
4,12.0,93.65,1014.0,13.0,1.0,0.0,0,0,0,1.0
4,4.0,50.92,1015.0,14.0,4.0,0.0,1,0,0,0.0
4,3.0,70.67,1029.0,8.0,10.0,0.0,0,1,0,0.0
4,4.0,75.84,1026.0,8.0,12.0,0.0,0,0,0,0.0
4,3.0,61.76,1019.0,10.0,4.0,0.0,0,0,0,0.0
4,6.0,81.48,1020.0,9.0,5.0,0.0,0,0,0,0.0
4,-7.0,29.48,1028.0,10.0,7.0,0.0,1,0,0,0.0
4,-2.0,37.66,1019.0,12.0,3.0,0.0,0,0,0,0.0
4,2.0,53.81,1019.0,11.0,4.0,0.0,0,0,0,0.0
4,1.0,46.88,1024.0,12.0,4.0,0.0,0,0,0,0.0
4,5.0,62.24,1014.0,12.0,2.0,0.0,0,0,0,1.0
4,7.0,71.47,1013.0,12.0,7.0,0.0,0,0,0,1.0
4,1.0,46.88,1014.0,12.0,4.0,0.0,1,0,0,0.0
4,2.0,57.51,1024.0,10.0,1.0,0.0,0,0,0,0.0
4,6.0,81.48,1024.0,9.0,7.0,0.0,0,0,0,1.0
4,7.0,81.61,1026.0,10.0,2.0,0.0,0,0,0,1.0
4,4.0,54.35,1029.0,13.0,2.0,0.0,0,0,0,1.0
4,9.0,93.5,1025.0,10.0,1.0,0.1,0,1,0,1.0
4,6.0,58.54,1020.0,14.0,6.0,0.0,0,0,0,1.0
4,7.0,62.71,1019.0,14.0,3.0,0.0,0,0,0,1.0
4,6.0,51.48,1018.0,16.0,4.0,0.0,0,0,0,1.0
4,7.0,48.59,1017.0,18.0,2.0,0.0,0,1,0,1.0
4,9.0,63.18,1008.0,16.0,3.0,0.0,0,1,0,1.0
1,-10.0,15.76,1018.0,16.0,7.0,0.0,1,0,0,0.0
1,-1.0,40.54,1031.0,12.0,3.0,0.0,0,0,1,0.0
1,4.0,50.92,1031.0,14.0,3.0,0.0,0,0,1,0.0
1,2.0,34.24,1026.0,18.0,3.0,0.0,0,0,1,1.0
1,4.0,39.46,1023.0,18.0,2.0,0.0,1,0,0,1.0
1,5.0,35.13,1022.0,21.0,3.0,0.0,0,0,0,1.0
1,6.0,31.39,1022.0,24.0,5.0,0.0,0,0,0,1.0
1,6.0,33.34,1016.0,23.0,5.0,0.0,0,0,0,1.0
1,6.0,31.39,1006.0,24.0,6.0,0.0,1,0,0,1.0
1,-1.0,20.26,1012.0,23.0,6.0,0.0,0,1,0,1.0
1,7.0,40.34,1008.0,21.0,21.0,0.0,0,1,0,1.0
1,2.0,28.43,1012.0,21.0,2.0,0.0,0,0,1,1.0
1,5.0,33.05,1019.0,22.0,3.0,0.0,0,0,0,1.0
1,6.0,40.04,1018.0,20.0,10.0,0.0,1,0,0,1.0
1,8.0,43.19,1016.0,21.0,3.0,0.0,0,0,0,1.0
1,11.0,52.83,1016.0,21.0,11.0,0.0,0,0,0,1.0
1,12.0,77.17,1015.0,16.0,8.0,0.0,0,0,0,0.0
1,11.0,49.7,1013.0,22.0,3.0,0.0,1,0,0,0.0
1,14.0,68.4,1010.0,20.0,12.0,0.0,0,1,0,0.0
1,14.0,60.51,1017.0,22.0,4.0,0.0,0,0,0,0.0
1,12.0,39.39,1017.0,27.0,2.0,0.0,0,0,0,0.0
1,13.0,39.67,1014.0,28.0,3.0,0.0,0,0,0,0.0
1,12.0,37.16,1006.0,28.0,1.0,0.0,0,0,0,1.0
1,15.0,53.88,1009.0,25.0,2.0,0.0,0,1,0,1.0
1,10.0,32.54,1010.0,28.0,14.0,0.0,1,0,0,0.0
1,8.0,33.92,1016.0,25.0,5.0,0.0,0,0,0,0.0
1,17.0,82.89,1012.0,20.0,4.0,0.0,0,0,0,0.0
1,11.0,56.19,1014.0,20.0,2.0,0.0,1,0,0,0.0
1,12.0,44.33,1015.0,25.0,3.0,0.0,0,0,0,0.0
1,16.0,38.29,1009.0,32.0,1.0,0.0,0,1,0,1.0
1,17.0,57.69,1010.0,26.0,35.0,0.0,1,0,0,0.0
1,19.0,88.37,1006.0,21.0,4.0,0.0,0,1,0,0.0
1,16.0,45.44,1003.0,29.0,5.0,0.0,0,0,0,0.0
1,19.0,51.83,1004.0,30.0,2.0,0.0,0,0,0,0.0
1,18.0,51.57,1003.0,29.0,2.0,0.0,0,1,0,0.0
1,13.0,60.27,1018.0,21.0,13.0,0.0,0,0,0,0.0
1,11.0,44.04,1015.0,24.0,2.0,0.0,0,0,1,0.0
1,13.0,47.33,1012.0,25.0,9.0,0.0,0,0,0,0.0
2,16.0,60.98,1011.0,24.0,2.0,0.0,0,0,0,0.0
2,14.0,39.96,1011.0,29.0,6.0,0.0,0,0,0,0.0
2,13.0,33.39,1008.0,31.0,2.0,0.0,0,0,0,0.0
2,17.0,48.42,1009.0,29.0,4.0,0.0,0,0,0,0.0
2,22.0,88.62,1007.0,24.0,2.0,0.0,1,0,0,1.0
2,17.0,43.18,1006.0,31.0,2.0,0.0,0,0,0,0.0
2,19.0,46.26,1005.0,32.0,2.0,0.0,0,0,0,0.0
2,23.0,88.7,1003.0,25.0,1.0,0.0,0,0,0,0.0
2,15.0,50.78,1009.0,26.0,2.0,0.0,0,0,0,0.0
2,17.0,54.39,1015.0,27.0,5.0,0.0,0,0,0,0.0
2,10.0,30.71,1011.0,29.0,5.0,0.0,0,0,0,0.0
2,11.0,30.99,1008.0,30.0,4.0,0.0,0,0,0,0.0
