season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,cbwd_NE,cbwd_NW,cbwd_SE,PM_HIGH
3.0,15.2,62.0,1013.9,22.9,7.3,0.0,1,0,0,0.0
3.0,10.7,43.0,1013.7,24.0,5.2,0.0,1,0,0,0.0
3.0,8.8,42.0,1014.4,22.3,9.2,0.0,1,0,0,0.0
3.0,12.1,51.0,1013.2,22.7,9.5,0.0,1,0,0,0.0
3.0,15.3,76.0,1011.5,19.6,3.0,0.0,0,1,0,0.0
3.0,13.0,48.0,1008.9,24.7,3.6,0.0,0,0,1,0.0
3.0,15.1,52.0,1006.1,25.7,8.0,0.0,1,0,0,0.0
3.0,18.0,66.0,1007.8,24.8,0.7,0.0,1,0,0,0.0
3.0,18.3,64.0,1007.2,25.6,2.7,0.0,0,1,0,0.0
4.0,8.8,59.0,1012.2,16.8,8.2,0.0,1,0,0,0.0
4.0,5.7,58.0,1011.1,13.8,7.6,0.0,1,0,0,0.0
4.0,2.5,40.0,1010.5,16.1,6.8,0.0,1,0,0,0.0
4.0,4.7,39.0,1011.7,18.9,1.3,0.0,0,1,0,0.0
4.0,9.5,49.0,1011.4,20.6,8.6,0.0,1,0,0,0.0
4.0,13.7,56.0,1011.1,22.9,4.6,0.0,1,0,0,0.0
4.0,16.2,72.0,1010.0,21.5,26.9,0.0,1,0,0,0.0
4.0,10.1,60.0,1013.4,18.0,43.8,0.0,1,0,0,0.0
4.0,3.0,48.0,1016.8,13.8,151.1,0.0,1,0,0,0.0
4.0,-4.8,28.0,1018.1,13.3,79.0,0.0,1,0,0,0.0
4.0,-5.7,25.0,1017.3,14.0,21.2,0.0,1,0,0,0.0
4.0,-0.7,30.0,1014.1,17.0,4.1,0.0,1,0,0,0.0
4.0,1.6,32.0,1013.3,18.6,6.7,0.0,1,0,0,0.0
4.0,6.4,39.0,1011.9,20.8,7.0,0.0,1,0,0,0.0
4.0,4.2,36.0,1013.6,19.7,6.6,0.0,1,0,0,0.0
4.0,3.9,44.0,1017.2,16.2,100.4,0.0,1,0,0,0.0
4.0,3.7,46.0,1017.9,15.2,7.6,0.0,1,0,0,0.0
4.0,9.4,47.0,1011.7,21.1,19.5,0.0,1,0,0,0.0
4.0,4.7,44.0,1013.5,17.0,11.8,0.0,0,1,0,0.0
4.0,5.1,54.0,1015.7,14.3,46.5,0.0,1,0,0,0.0
4.0,-3.4,31.0,1017.9,13.4,95.3,0.0,1,0,0,0.0
4.0,-3.8,28.0,1018.8,14.5,7.6,0.0,1,0,0,0.0
4.0,-1.3,31.0,1018.8,15.8,8.9,0.0,1,0,0,0.0
4.0,4.1,37.0,1016.0,19.1,4.4,0.0,0,0,1,0.0
4.0,9.9,50.0,1015.1,20.7,3.2,0.0,1,0,0,1.0
4.0,10.5,48.0,1012.7,22.0,7.7,0.0,1,0,0,1.0
4.0,8.6,64.0,1016.3,15.4,3.5,0.0,1,0,0,0.0
4.0,8.9,59.0,1016.5,17.0,15.7,0.0,1,0,0,0.0
4.0,8.9,54.0,1014.9,18.4,4.9,0.0,0,1,0,0.0
4.0,8.5,53.0,1013.6,18.2,1.1,0.0,0,0,0,0.0
4.0,10.4,61.0,1012.3,18.0,13.3,0.0,1,0,0,1.0
1.0,20.4,91.0,1006.1,21.9,1.5,0.0,1,0,0,0.0
1.0,20.0,89.0,1005.1,21.9,3.3,0.0,0,0,1,0.0
1.0,21.3,75.0,1006.2,26.1,1.6,0.0,0,0,1,0.0
1.0,20.7,87.0,1006.5,23.0,6.8,0.0,0,0,1,0.0
1.0,19.7,77.0,1006.8,24.0,2.2,0.0,0,0,0,0.0
1.0,17.7,83.0,1007.8,20.7,5.6,0.0,0,0,0,0.0
1.0,17.9,72.0,1006.6,23.2,0.7,0.0,0,0,0,0.0
1.0,12.3,74.0,1008.2,17.0,12.2,0.0,0,1,0,0.0
1.0,7.8,47.0,1012.8,19.4,53.9,0.0,1,0,0,0.0
1.0,5.3,33.0,1012.7,22.3,8.5,0.0,1,0,0,0.0
1.0,8.3,37.0,1012.8,23.8,9.7,0.0,1,0,0,0.0
1.0,19.3,71.0,1007.5,24.9,3.8,0.0,0,0,1,0.0
1.0,13.4,51.0,1012.7,24.2,17.3,0.0,1,0,0,0.0
1.0,11.2,42.0,1010.9,25.0,6.7,0.0,1,0,0,0.0
1.0,17.8,67.0,1008.0,24.3,4.1,0.0,0,0,1,0.0
1.0,19.8,59.0,1009.4,28.6,13.9,0.0,1,0,0,0.0
1.0,17.7,61.0,1009.1,25.8,2.5,0.0,0,0,1,0.0
1.0,19.4,97.0,1007.0,19.9,1.5,12.6,0,1,0,0.0
1.0,18.5,84.0,1007.9,21.3,14.0,0.0,1,0,0,0.0
1.0,17.7,83.0,1010.5,20.7,29.9,0.0,1,0,0,0.0
1.0,17.4,90.0,1008.9,19.1,11.2,0.0,1,0,0,0.0
1.0,20.4,78.0,1006.7,24.5,5.8,0.0,1,0,0,1.0
1.0,21.1,71.0,1006.3,26.8,6.8,0.0,0,0,0,0.0
1.0,22.5,71.0,1003.9,28.3,1.8,0.0,0,0,1,0.0
1.0,21.9,68.0,1002.2,28.4,2.9,0.0,0,0,1,0.0
1.0,23.6,81.0,1002.2,27.1,4.3,0.0,0,0,0,0.0
1.0,24.5,84.0,1003.7,27.4,4.6,0.0,0,0,1,0.0
1.0,22.7,68.0,1001.5,29.2,20.4,0.0,0,0,0,0.0
1.0,23.4,80.0,1001.5,27.1,9.2,0.0,1,0,0,0.0
1.0,21.2,89.0,1001.2,23.1,12.5,0.0,0,0,1,1.0
1.0,20.2,92.0,1001.5,21.6,9.0,2.4,0,0,1,1.0
1.0,21.7,97.0,1003.4,22.2,2.9,0.6,0,0,1,1.0
1.0,20.3,97.0,1001.5,20.8,2.8,2.6,0,0,0,1.0
1.0,18.3,62.0,1001.4,26.2,5.0,0.0,0,1,0,1.0
1.0,16.6,47.0,1002.7,29.0,2.9,0.0,1,0,0,1.0
1.0,23.2,90.0,1000.6,25.0,0.4,0.1,0,0,0,1.0
1.0,24.0,78.0,997.0,28.2,12.6,0.0,0,0,0,0.0
1.0,24.9,79.0,997.9,28.9,9.8,0.0,0,0,0,0.0
1.0,20.1,81.0,1000.9,23.6,1.7,0.0,0,0,1,0.0
1.0,21.9,83.0,1000.8,25.0,10.0,0.0,0,0,1,1.0
1.0,24.0,75.0,999.4,28.9,11.0,0.0,0,0,1,1.0
1.0,25.9,75.0,997.1,30.9,17.9,0.0,0,0,0,1.0
1.0,25.0,70.0,998.1,31.1,17.9,0.0,0,0,0,1.0
1.0,25.9,70.0,998.8,32.1,15.8,0.0,0,0,0,0.0
1.0,24.6,91.0,997.5,26.2,4.1,0.2,0,1,0,0.0
1.0,25.7,70.0,998.0,31.9,2.3,0.0,0,0,0,1.0
1.0,23.5,77.0,1002.2,27.9,3.5,0.0,0,0,0,0.0
1.0,24.2,84.0,1003.2,27.1,1.9,0.0,0,0,1,1.0
1.0,24.2,74.0,1002.4,29.3,6.7,0.0,0,0,1,0.0
1.0,23.5,65.0,1001.7,30.8,14.1,0.0,0,0,0,0.0
1.0,24.5,61.0,1001.0,33.0,2.7,0.0,0,0,0,1.0
1.0,24.6,62.0,1000.4,32.8,1.5,0.0,0,0,0,1.0
1.0,24.4,86.0,1000.2,26.9,5.8,0.0,1,0,0,1.0
1.0,23.5,75.0,998.5,28.4,7.5,0.0,0,0,1,0.0
1.0,25.2,92.0,997.1,26.6,10.2,9.6,0,1,0,1.0
1.0,23.7,63.0,998.8,31.6,7.1,0.0,0,0,0,0.0
1.0,19.1,59.0,1001.5,27.9,15.8,0.0,0,0,1,0.0
1.0,19.1,55.0,999.5,29.1,3.6,0.0,0,0,1,0.0
1.0,21.9,60.0,998.6,30.6,3.1,0.0,0,0,1,0.0
1.0,22.7,58.0,998.9,32.0,6.3,0.0,1,0,0,0.0
1.0,23.8,67.0,999.5,30.6,17.9,0.0,1,0,0,0.0
1.0,23.9,70.0,999.4,30.0,1.1,0.0,0,0,1,0.0
1.0,24.2,81.0,1000.5,27.8,4.1,0.0,0,0,1,0.0
1.0,22.3,72.0,1002.1,27.8,14.2,0.0,0,0,1,0.0
1.0,23.1,70.0,999.8,29.1,0.6,0.0,0,1,0,0.0
1.0,22.9,69.0,1000.8,29.2,4.7,0.0,1,0,0,0.0
2.0,21.8,68.0,1000.4,28.3,2.1,0.0,0,0,0,0.0
2.0,23.5,74.0,998.6,28.6,0.7,0.0,0,0,1,0.0
2.0,22.5,69.0,997.5,28.8,1.5,0.0,1,0,0,0.0
2.0,23.3,71.0,997.3,29.1,2.3,0.0,0,0,1,0.0
