season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,cbwd_NE,cbwd_NW,cbwd_SE,PM_HIGH
1,-3.0,26.98,1010.0,16.0,31.0,0.0,0,0,0,0.0
1,6.0,58.54,1008.0,14.0,51.0,0.0,0,0,0,0.0
1,0.0,43.6,1006.0,12.0,7.0,0.0,0,1,0,0.0
1,2.0,41.43,1011.0,15.0,23.0,0.0,0,1,0,0.0
1,-5.0,18.06,1013.0,20.0,28.0,0.0,0,0,1,0.0
1,0.0,24.61,1009.0,21.0,14.0,0.0,0,0,0,0.0
1,-1.0,33.35,1006.0,15.0,8.0,0.0,0,1,0,0.0
1,8.0,81.75,1011.0,11.0,10.0,0.0,1,0,0,0.0
1,6.0,48.31,1013.0,17.0,3.0,0.0,0,1,0,0.0
1,0.0,29.65,1014.0,18.0,4.0,0.0,0,1,0,0.0
1,-1.0,27.56,1016.0,18.0,4.0,0.0,0,1,0,0.0
1,3.0,27.02,1015.0,23.0,62.0,0.0,0,0,0,0.0
1,6.0,33.34,1016.0,23.0,221.0,0.0,0,0,0,0.0
1,11.0,41.49,1014.0,25.0,2.0,0.0,0,0,0,1.0
1,11.0,34.78,1016.0,28.0,20.0,0.0,0,0,0,1.0
1,5.0,23.13,1015.0,28.0,40.0,0.0,0,0,0,0.0
1,6.0,33.34,1010.0,23.0,37.0,0.0,0,0,0,0.0
1,11.0,59.78,995.0,19.0,143.0,0.0,0,0,0,0.0
1,8.0,48.87,993.0,19.0,28.0,0.0,0,0,0,0.0
1,5.0,33.05,1001.0,22.0,24.0,0.0,0,0,0,0.0
1,1.0,18.46,1005.0,27.0,5.0,0.0,0,0,0,0.0
1,6.0,35.42,1005.0,22.0,32.0,0.0,0,0,0,0.0
1,10.0,59.54,1017.0,18.0,2.0,0.0,0,1,0,0.0
1,8.0,33.92,1018.0,25.0,30.0,0.0,1,0,0,0.0
1,10.0,38.82,1012.0,25.0,53.0,0.0,0,0,0,0.0
1,12.0,56.44,1008.0,21.0,193.0,0.0,0,0,0,0.0
1,10.0,49.42,996.0,21.0,33.0,0.0,0,0,0,0.0
1,-2.0,21.26,998.0,21.0,106.0,0.0,0,0,0,0.0
1,7.0,37.95,1001.0,22.0,106.0,0.0,0,0,0,0.0
1,4.0,25.72,1011.0,25.0,12.0,0.0,1,0,0,0.0
1,7.0,23.66,1010.0,30.0,18.0,0.0,0,0,0,0.0
1,9.0,40.92,1014.0,23.0,23.0,0.0,0,1,0,0.0
1,13.0,39.67,1011.0,28.0,8.0,0.0,0,0,0,0.0
1,9.0,30.42,1011.0,28.0,28.0,0.0,0,0,0,0.0
1,12.0,49.97,1008.0,23.0,6.0,0.0,0,0,0,0.0
1,15.0,53.88,1002.0,25.0,14.0,0.0,0,0,0,0.0
1,2.0,22.32,1003.0,25.0,22.0,0.0,0,0,0,0.0
1,4.0,19.21,1005.0,30.0,48.0,0.0,0,0,0,0.0
1,8.0,26.83,1003.0,29.0,43.0,0.0,0,0,0,0.0
2,10.0,38.82,1008.0,25.0,30.0,0.0,0,0,0,0.0
2,-1.0,13.42,1007.0,30.0,22.0,0.0,0,0,1,0.0
2,14.0,60.51,1006.0,22.0,5.0,0.0,0,0,0,0.0
2,10.0,43.76,1015.0,23.0,2.0,0.0,0,0,0,0.0
2,18.0,83.01,1015.0,21.0,11.0,0.0,0,0,1,0.0
2,18.0,65.19,1013.0,25.0,15.0,0.0,0,0,0,0.0
2,15.0,50.78,1010.0,26.0,23.0,0.0,0,0,0,0.0
