season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,cbwd_NE,cbwd_NW,cbwd_SE,PM_HIGH
4,3.0,57.77,1030.1,11.0,66.0,0.0,1,0,0,0.0
4,-2.0,49.22,1032.9,8.0,194.0,0.0,1,0,0,0.0
4,-1.0,49.51,1029.1,9.0,2.0,0.0,1,0,0,0.0
4,-4.0,42.4,1029.1,8.0,7.0,0.0,1,0,0,0.0
4,-4.0,45.4,1028.1,7.0,2.0,0.0,0,1,0,0.0
4,-3.0,52.41,1028.1,6.0,30.0,0.0,0,1,0,1.0
4,-15.0,25.19,1033.9,3.0,177.0,0.0,0,1,0,0.0
4,-6.0,41.79,1031.2,6.0,43.0,0.0,1,0,0,0.0
4,0.0,56.99,1034.9,8.0,38.0,0.0,1,0,0,0.0
4,2.0,70.47,1031.2,7.0,119.0,0.2,1,0,0,0.0
4,0.0,56.99,1030.1,8.0,195.0,0.0,1,0,0,0.0
4,1.0,57.25,1029.1,9.0,3.0,0.0,0,1,0,0.0
4,0.0,56.99,1033.9,8.0,55.0,0.0,1,0,0,1.0
4,-5.0,42.1,1029.1,7.0,2.0,0.0,0,0,1,0.0
4,0.0,56.99,1026.1,8.0,22.0,0.0,1,0,0,1.0
4,4.0,86.99,1023.0,6.0,96.0,0.3,1,0,0,0.0
4,4.0,86.99,1020.0,6.0,197.0,0.6,1,0,0,0.0
4,2.0,65.82,1018.0,8.0,295.0,0.0,1,0,0,0.0
4,0.0,49.8,1021.0,10.0,3.0,0.0,0,0,1,0.0
4,5.0,81.34,1019.0,8.0,70.0,0.2,1,0,0,0.0
4,3.0,66.05,1021.0,9.0,182.0,0.0,1,0,0,1.0
4,0.0,56.99,1023.0,8.0,6.0,0.0,0,1,0,1.0
4,3.0,81.06,1023.0,6.0,41.0,0.0,1,0,0,0.0
4,-2.0,80.34,1030.1,1.0,7.0,0.0,1,0,0,0.0
4,-7.0,51.27,1030.1,2.0,8.0,0.0,1,0,0,0.0
4,-10.0,37.77,1027.1,3.0,6.0,0.0,1,0,0,0.0
4,-10.0,35.19,1029.1,4.0,96.0,0.0,0,1,0,1.0
4,-8.0,35.82,1027.1,6.0,16.0,0.0,0,0,1,0.0
4,3.0,70.67,1022.0,8.0,4.0,0.0,1,0,0,0.0
4,5.0,87.09,1023.0,7.0,94.0,0.7,1,0,0,0.0
4,4.0,66.27,1026.1,10.0,208.0,0.0,1,0,0,0.0
4,-2.0,49.22,1029.1,8.0,340.0,0.0,1,0,0,0.0
4,-1.0,46.29,1025.1,10.0,11.0,0.0,0,0,0,0.0
4,3.0,75.67,1027.1,7.0,18.0,0.0,1,0,0,0.0
4,-4.0,64.42,1034.9,2.0,23.0,0.0,1,0,0,0.0
4,-6.0,48.04,1030.1,4.0,2.0,0.0,0,0,0,0.0
4,-3.0,42.71,1025.1,9.0,4.0,0.0,0,0,1,0.0
4,6.0,87.19,1021.0,8.0,10.0,0.0,0,1,0,0.0
4,8.0,93.45,1011.9,9.0,3.0,2.4,0,1,0,0.0
4,-4.0,69.21,1028.1,1.0,47.0,0.0,0,1,0,0.0
4,-9.0,47.14,1031.2,1.0,49.0,0.0,0,1,0,0.0
4,-12.0,27.97,1028.1,5.0,9.0,0.0,0,0,1,0.0
4,0.0,93.02,1028.1,1.0,21.0,0.7,1,0,0,0.0
4,1.0,70.27,1030.1,6.0,6.0,0.0,1,0,0,0.0
4,2.0,70.47,1025.1,7.0,15.0,0.0,0,0,1,0.0
4,4.0,81.2,1023.0,7.0,38.0,0.0,0,1,0,0.0
4,6.0,93.35,1021.0,7.0,4.0,0.0,1,0,0,0.0
4,2.0,70.47,1023.0,7.0,22.0,0.0,1,0,0,0.0
4,0.0,65.36,1027.1,6.0,24.0,0.0,1,0,0,0.0
4,-8.0,33.43,1030.1,7.0,38.0,0.0,1,0,0,0.0
4,-5.0,51.84,1032.9,4.0,38.0,0.0,1,0,0,0.0
4,-16.0,17.54,1031.2,7.0,1.0,0.0,0,0,0,0.0
